32	16	8	8	0.000096	0.000361	0.265928	Best result yet!
28	14	8	7	0.000081	0.000143	0.566434	Best result yet!
24	12	8	6	0.000068	0.000163	0.417178	
20	10	8	5	0.000053	0.000108	0.490741	
16	8	8	4	0.000038	0.000111	0.342342	
12	6	8	3	0.000023	0.000132	0.174242	
8	4	8	2	0.000020	0.000109	0.183486	
4	2	8	1	0.000011	0.000109	0.100917	
