1120	2240	2	1120	10.344026	10.117688	1.022371	Best result yet!
1080	2160	2	1080	9.139881	9.153342	0.998529	
1040	2080	2	1040	8.111275	8.006479	1.013089	
1000	2000	2	1000	7.125678	7.127891	0.999690	
960	1920	2	960	6.281324	6.264788	1.002640	
920	1840	2	920	5.457114	5.477086	0.996354	
880	1760	2	880	4.741137	4.798250	0.988097	
840	1680	2	840	4.143579	4.142533	1.000253	
800	1600	2	800	3.560487	3.565660	0.998549	
760	1520	2	760	3.043164	3.051247	0.997351	
720	1440	2	720	2.547706	2.578254	0.988152	
680	1360	2	680	2.141135	2.151442	0.995209	
640	1280	2	640	1.796384	1.774198	1.012505	
600	1200	2	600	1.452862	1.446722	1.004244	
560	1120	2	560	1.168867	1.152761	1.013972	
520	1040	2	520	0.899848	0.912538	0.986094	
480	960	2	480	0.702234	0.707446	0.992633	
440	880	2	440	0.533056	0.555573	0.959471	
400	800	2	400	0.392768	0.397299	0.988595	
360	720	2	360	0.284975	0.300403	0.948642	
320	640	2	320	0.199117	0.205585	0.968539	
280	560	2	280	0.133265	0.136063	0.979436	
240	480	2	240	0.084175	0.088218	0.954170	
200	400	2	200	0.049135	0.050300	0.976839	
160	320	2	160	0.025636	0.026147	0.980457	
120	240	2	120	0.011173	0.011585	0.964437	
80	160	2	80	0.003422	0.003693	0.926618	
40	80	2	40	0.000437	0.000656	0.666159	
1560	624	10	312	4.863792	6.394306	0.760644	Best result yet!
1500	600	10	300	4.312195	5.705450	0.755803	
1440	576	10	288	3.789621	5.068505	0.747680	
1380	552	10	276	3.322292	4.480508	0.741499	
1320	528	10	264	2.888787	3.929092	0.735230	
1260	504	10	252	2.497202	3.427791	0.728516	
1200	480	10	240	2.164573	2.986132	0.724875	
1140	456	10	228	1.848983	2.590823	0.713666	
1080	432	10	216	1.581749	2.167296	0.729826	
1020	408	10	204	1.328502	1.864821	0.712402	
960	384	10	192	1.097739	1.583287	0.693329	
900	360	10	180	0.902896	1.295822	0.696775	
840	336	10	168	0.731141	1.061733	0.688630	
780	312	10	156	0.579791	0.868491	0.667584	
720	288	10	144	0.457282	0.681252	0.671238	
660	264	10	132	0.346898	0.544199	0.637447	
600	240	10	120	0.263639	0.428674	0.615010	
540	216	10	108	0.189424	0.318655	0.594449	
480	192	10	96	0.130760	0.236739	0.552338	
420	168	10	84	0.089399	0.161191	0.554615	
360	144	10	72	0.055336	0.108628	0.509408	
300	120	10	60	0.032185	0.068472	0.470046	
240	96	10	48	0.016798	0.037087	0.452935	
180	72	10	36	0.007144	0.017418	0.410150	
120	48	10	24	0.002145	0.007015	0.305773	
60	24	10	12	0.000291	0.001821	0.159802	
900	360	10	180	0.904388	1.293607	0.699121	Best result yet!
840	336	10	168	0.734841	1.082999	0.678524	
780	312	10	156	0.596778	0.871191	0.685014	
720	288	10	144	0.462356	0.695283	0.664990	
660	264	10	132	0.349788	0.537498	0.650771	
600	240	10	120	0.266097	0.418019	0.636567	
540	216	10	108	0.189621	0.328744	0.576804	
480	192	10	96	0.133785	0.236764	0.565056	
420	168	10	84	0.088728	0.164288	0.540076	
360	144	10	72	0.055472	0.107875	0.514225	
300	120	10	60	0.032420	0.067312	0.481638	
240	96	10	48	0.017459	0.045566	0.383158	
180	72	10	36	0.007363	0.028154	0.261526	
120	48	10	24	0.002284	0.008032	0.284363	
60	24	10	12	0.000318	0.001816	0.175110	
1120	448	10	224	1.776211	2.426846	0.731901	Best result yet!
1080	432	10	216	1.586788	2.174008	0.729891	
1040	416	10	208	1.412339	1.948131	0.724971	
1000	400	10	200	1.250340	1.758336	0.711093	
960	384	10	192	1.108226	1.543823	0.717845	
920	368	10	184	0.972314	1.369491	0.709982	
880	352	10	176	0.844953	1.205238	0.701067	
840	336	10	168	0.736954	1.062646	0.693508	
800	320	10	160	0.643386	0.921934	0.697866	
760	304	10	152	0.539786	0.801953	0.673089	
720	288	10	144	0.460839	0.695346	0.662748	
680	272	10	136	0.381679	0.596183	0.640204	
640	256	10	128	0.323463	0.509659	0.634666	
600	240	10	120	0.261418	0.432784	0.604038	
560	224	10	112	0.212446	0.376476	0.564302	
520	208	10	104	0.176276	0.286445	0.615392	
480	192	10	96	0.131126	0.238590	0.549587	
440	176	10	88	0.100522	0.181488	0.553877	
400	160	10	80	0.075967	0.145193	0.523214	
360	144	10	72	0.055149	0.109273	0.504690	
320	128	10	64	0.038903	0.081207	0.479060	
280	112	10	56	0.026232	0.057926	0.452854	
240	96	10	48	0.016315	0.038507	0.423689	
200	80	10	40	0.009662	0.024502	0.394335	
160	64	10	32	0.005111	0.013700	0.373066	
120	48	10	24	0.002182	0.006926	0.315045	
80	32	10	16	0.000702	0.002769	0.253521	
40	16	10	8	0.000092	0.001072	0.085821	
12	24	2	12	0.000129	0.000072	1.791667	Best result yet!
6	12	2	6	0.000034	0.000036	0.944444	
60	20	5	12	0.000243	0.000722	0.336565	Best result yet!
54	18	5	10	0.000180	0.000628	0.286624	
48	16	5	9	0.000131	0.000603	0.217247	
42	14	5	8	0.000087	0.000422	0.206161	
36	12	5	7	0.000056	0.000419	0.133652	
30	10	5	6	0.000035	0.000295	0.118644	
24	8	12	4	0.000019	0.000772	0.024611	
18	6	12	3	0.000009	0.000588	0.015306	
12	4	12	2	0.000004	0.000305	0.013115	
6	2	12	1	0.000001	0.000228	0.004386	
60	20	5	12	0.000255	0.000719	0.354659	Best result yet!
54	18	5	10	0.000188	0.000535	0.351402	
48	16	5	9	0.000132	0.000451	0.292683	
42	14	5	8	0.000094	0.000381	0.246719	
36	12	5	7	0.000059	0.000316	0.186709	
30	10	5	6	0.000036	0.000248	0.145161	
24	8	12	4	0.000019	0.000534	0.035581	
18	6	12	3	0.000010	0.000376	0.026596	
12	4	12	2	0.000004	0.000303	0.013201	
6	2	12	1	0.000001	0.000241	0.004149	
60	20	5	12	0.000256	0.000633	0.404423	Best result yet!
