R	C	T	Si	Op_FF	Res_FF	St	Pt	SU	Info
1050	1050	2	1050	2.250000	1.000000	10.402495	14.259647	0.729506	
1000	1000	2	1000	2.250000	1.000000	8.677655	12.590845	0.689204	
950	950	2	950	2.250000	1.000000	6.866986	10.382258	0.661415	
900	900	2	900	2.250000	1.000000	5.432682	9.152511	0.593573	
850	850	2	850	2.250000	1.000000	4.532676	7.506164	0.603861	
800	800	2	800	2.250000	1.000000	3.770211	6.366621	0.592184	
750	750	2	750	2.250000	1.000000	3.033689	5.094416	0.595493	
700	700	2	700	2.250000	1.000000	2.451539	4.187472	0.585446	
650	650	2	650	2.250000	1.000000	1.986509	3.352634	0.592522	
600	600	2	600	2.250000	1.000000	1.557412	2.534334	0.614525	
550	550	2	550	2.250000	1.000000	1.183648	1.879481	0.629774	
500	500	2	500	2.250000	1.000000	0.885694	1.384837	0.639566	
450	450	2	450	2.250000	1.000000	0.644073	1.005262	0.640702	

1150	1150	2	1150	2.500000	1.000000	20.041441	24.465125	0.819184	Best result yet!
1100	1100	2	1100	2.500000	1.000000	13.368060	19.466091	0.686736	
1050	1050	2	1050	2.500000	1.000000	11.714708	15.844361	0.739361	
1000	1000	2	1000	2.500000	1.000000	9.971615	14.061688	0.709134	
950	950	2	950	2.500000	1.000000	7.991121	11.541160	0.692402	
900	900	2	900	2.500000	1.000000	6.460756	10.171845	0.635161	
850	850	2	850	2.500000	1.000000	5.072853	8.339095	0.608322	
800	800	2	800	2.500000	1.000000	4.180803	7.062989	0.591931	
750	750	2	750	2.500000	1.000000	3.359052	5.674622	0.591943	
700	700	2	700	2.500000	1.000000	2.740026	4.707005	0.582117	
650	650	2	650	2.500000	1.000000	2.210157	3.599580	0.614004	
600	600	2	600	2.500000	1.000000	1.723761	2.826353	0.609889	
550	550	2	550	2.500000	1.000000	1.316817	2.119226	0.621367	
500	500	2	500	2.500000	1.000000	0.981965	1.569110	0.625810	
450	450	2	450	2.500000	1.000000	0.719412	1.109383	0.648479	

1150	1150	2	1150	2.750000	1.000000	23.336230	26.609648	0.876984	Best result yet!
1100	1100	2	1100	2.750000	1.000000	14.962752	21.542116	0.694581	
1050	1050	2	1050	2.750000	1.000000	13.167855	17.553528	0.750154	
1000	1000	2	1000	2.750000	1.000000	11.174753	15.799658	0.707278	
950	950	2	950	2.750000	1.000000	9.132652	12.861965	0.710051	
900	900	2	900	2.750000	1.000000	7.332351	11.223468	0.653305	
850	850	2	850	2.750000	1.000000	5.899243	9.298897	0.634402	
800	800	2	800	2.750000	1.000000	4.607343	7.926624	0.581249	
750	750	2	750	2.750000	1.000000	3.726343	6.235758	0.597577	
700	700	2	700	2.750000	1.000000	3.016889	5.153869	0.585364	
650	650	2	650	2.750000	1.000000	2.424396	3.966346	0.611242	
600	600	2	600	2.750000	1.000000	1.901636	3.090031	0.615410	
550	550	2	550	2.750000	1.000000	1.449238	2.299537	0.630230	
500	500	2	500	2.750000	1.000000	1.074164	1.685118	0.637441	
450	450	2	450	2.750000	1.000000	0.787466	1.218928	0.646032	

1150	1150	2	1150	3.000000	1.000000	26.268447	29.880628	0.879113	Best result yet!
1100	1100	2	1100	3.000000	1.000000	16.615470	23.951547	0.693712	
1050	1050	2	1050	3.000000	1.000000	14.580821	19.484078	0.748345	
1000	1000	2	1000	3.000000	1.000000	12.161428	17.193347	0.707333	
950	950	2	950	3.000000	1.000000	9.995125	14.149533	0.706393	
900	900	2	900	3.000000	1.000000	8.354809	12.333035	0.677433	
850	850	2	850	3.000000	1.000000	6.705075	10.305519	0.650630	
800	800	2	800	3.000000	1.000000	5.226904	8.750336	0.597338	
750	750	2	750	3.000000	1.000000	4.043836	6.954354	0.581483	
700	700	2	700	3.000000	1.000000	3.290891	5.711513	0.576186	
650	650	2	650	3.000000	1.000000	2.653493	4.428790	0.599146	
600	600	2	600	3.000000	1.000000	2.082929	3.458495	0.602265	
550	550	2	550	3.000000	1.000000	1.575586	2.544287	0.619264	
500	500	2	500	3.000000	1.000000	1.171585	1.856579	0.631045	
450	450	2	450	3.000000	1.000000	0.862132	1.337636	0.644519	

1150	1150	2	1150	3.500000	1.000000	31.937886	34.941043	0.914051	Best result yet!
1100	1100	2	1100	3.500000	1.000000	19.566551	27.462517	0.712482	
1050	1050	2	1050	3.500000	1.000000	17.340121	22.261886	0.778915	
1000	1000	2	1000	3.500000	1.000000	14.602024	19.636331	0.743623	
950	950	2	950	3.500000	1.000000	11.852720	16.142502	0.734255	
900	900	2	900	3.500000	1.000000	9.914429	14.262068	0.695161	
850	850	2	850	3.500000	1.000000	8.221088	11.758132	0.699183	
800	800	2	800	3.500000	1.000000	6.508171	10.021578	0.649416	
750	750	2	750	3.500000	1.000000	4.990626	7.931397	0.629224	
700	700	2	700	3.500000	1.000000	3.884557	6.517218	0.596045	
650	650	2	650	3.500000	1.000000	3.109218	5.039346	0.616988	
600	600	2	600	3.500000	1.000000	2.432799	4.706940	0.516854	
550	550	2	550	3.500000	1.000000	1.856814	2.915792	0.636813	
500	500	2	500	3.500000	1.000000	1.374547	2.144959	0.640827	
450	450	2	450	3.500000	1.000000	1.002877	1.550513	0.646803	

1150	1150	4	575	1.000000	1.000000	5.152667	4.215330	1.222364	Best result yet!
1100	1100	4	550	1.000000	1.000000	4.480123	3.465763	1.292680	Best result yet!
1050	1050	4	525	1.000000	1.000000	3.845172	3.004579	1.279771	
1000	1000	4	500	1.000000	1.000000	3.306130	2.559896	1.291509	
950	950	4	475	1.000000	1.000000	2.788306	2.166377	1.287083	
900	900	4	450	1.000000	1.000000	2.368720	1.839698	1.287559	
850	850	4	425	1.000000	1.000000	1.998021	1.555324	1.284633	
800	800	4	400	1.000000	1.000000	1.654655	1.290961	1.281723	
750	750	4	375	1.000000	1.000000	1.346408	1.055739	1.275323	
700	700	4	350	1.000000	1.000000	1.100424	0.924510	1.190278	
650	650	4	325	1.000000	1.000000	0.863071	0.691478	1.248154	
600	600	4	300	1.000000	1.000000	0.668056	0.542529	1.231374	
550	550	4	275	1.000000	1.000000	0.508343	0.416307	1.221077	
500	500	4	250	1.000000	1.000000	0.378644	0.313332	1.208443	
450	450	4	225	1.000000	1.000000	0.277109	0.228431	1.213097	

1150	1150	4	575	1.250000	1.000000	6.900303	5.251485	1.313972	Best result yet!
1100	1100	4	550	1.250000	1.000000	5.602703	4.299608	1.303073	
1050	1050	4	525	1.250000	1.000000	4.812768	3.721020	1.293400	
1000	1000	4	500	1.250000	1.000000	4.151464	3.207280	1.294388	
950	950	4	475	1.250000	1.000000	3.496219	2.711503	1.289403	
900	900	4	450	1.250000	1.000000	2.959417	2.307133	1.282725	
850	850	4	425	1.250000	1.000000	2.492893	1.934392	1.288722	
800	800	4	400	1.250000	1.000000	2.077497	1.607186	1.292630	
750	750	4	375	1.250000	1.000000	1.684871	1.321075	1.275379	
700	700	4	350	1.250000	1.000000	1.365203	1.112103	1.227587	
650	650	4	325	1.250000	1.000000	1.100599	0.858603	1.281849	
600	600	4	300	1.250000	1.000000	0.858463	0.691255	1.241890	
550	550	4	275	1.250000	1.000000	0.652193	0.518217	1.258533	
500	500	4	250	1.250000	1.000000	0.483287	0.390578	1.237364	
450	450	4	225	1.250000	1.000000	0.345532	0.284061	1.216401	

1150	1150	4	575	1.500000	1.000000	8.003001	6.308225	1.268661	Best result yet!
1100	1100	4	550	1.500000	1.000000	6.796890	5.203232	1.306282	Best result yet!
1050	1050	4	525	1.500000	1.000000	5.837299	4.487328	1.300841	
1000	1000	4	500	1.500000	1.000000	4.990541	3.818570	1.306914	Best result yet!
950	950	4	475	1.500000	1.000000	4.222456	3.245753	1.300917	
900	900	4	450	1.500000	1.000000	3.570607	2.759696	1.293841	
850	850	4	425	1.500000	1.000000	3.012821	2.319392	1.298970	
800	800	4	400	1.500000	1.000000	2.492500	1.925558	1.294430	
750	750	4	375	1.500000	1.000000	2.026830	1.590685	1.274187	
700	700	4	350	1.500000	1.000000	1.631608	1.343305	1.214622	
650	650	4	325	1.500000	1.000000	1.317837	1.073894	1.227157	
600	600	4	300	1.500000	1.000000	1.037052	0.811548	1.277869	
550	550	4	275	1.500000	1.000000	0.785990	0.624274	1.259047	
500	500	4	250	1.500000	1.000000	0.589709	0.467750	1.260735	
450	450	4	225	1.500000	1.000000	0.426021	0.340431	1.251417	

1150	1150	4	575	1.750000	1.000000	9.937522	7.341311	1.353644	Best result yet!
1100	1100	4	550	1.750000	1.000000	8.453809	6.036333	1.400488	Best result yet!
1050	1050	4	525	1.750000	1.000000	7.013512	5.221993	1.343072	
1000	1000	4	500	1.750000	1.000000	5.862290	4.486695	1.306594	
950	950	4	475	1.750000	1.000000	4.918839	3.809558	1.291184	
900	900	4	450	1.750000	1.000000	4.160880	3.290421	1.264543	
850	850	4	425	1.750000	1.000000	3.510834	2.715078	1.293088	
800	800	4	400	1.750000	1.000000	2.913763	2.252486	1.293577	
750	750	4	375	1.750000	1.000000	2.348330	1.878936	1.249819	
700	700	4	350	1.750000	1.000000	1.918361	1.559294	1.230275	
650	650	4	325	1.750000	1.000000	1.542056	1.209293	1.275172	
600	600	4	300	1.750000	1.000000	1.213125	0.951070	1.275537	
550	550	4	275	1.750000	1.000000	0.924559	0.727101	1.271569	
500	500	4	250	1.750000	1.000000	0.684548	0.551288	1.241725	
450	450	4	225	1.750000	1.000000	0.499054	0.395830	1.260779	

1150	1150	4	575	2.000000	1.000000	12.659028	8.419344	1.503565	Best result yet!
1100	1100	4	550	2.000000	1.000000	10.288378	6.959717	1.478275	
1050	1050	4	525	2.000000	1.000000	8.906011	5.987995	1.487311	
1000	1000	4	500	2.000000	1.000000	7.179417	5.109599	1.405084	
950	950	4	475	2.000000	1.000000	5.668514	4.350833	1.302857	
900	900	4	450	2.000000	1.000000	4.757449	3.683866	1.291428	
850	850	4	425	2.000000	1.000000	4.020458	3.103171	1.295597	
800	800	4	400	2.000000	1.000000	3.334872	2.575965	1.294611	
750	750	4	375	2.000000	1.000000	2.683974	2.115005	1.269015	
700	700	4	350	2.000000	1.000000	2.182604	1.780803	1.225629	
650	650	4	325	2.000000	1.000000	1.758305	1.382292	1.272021	
600	600	4	300	2.000000	1.000000	1.373324	1.077224	1.274873	
550	550	4	275	2.000000	1.000000	1.055062	0.839837	1.256270	
500	500	4	250	2.000000	1.000000	0.778673	0.630673	1.234670	
450	450	4	225	2.000000	1.000000	0.575039	0.456185	1.260539	

1150	1150	4	575	2.250000	1.000000	15.105912	9.455583	1.597565	Best result yet!
1100	1100	4	550	2.250000	1.000000	11.744036	7.768976	1.511658	
1050	1050	4	525	2.250000	1.000000	10.352323	6.696753	1.545872	
1000	1000	4	500	2.250000	1.000000	8.529956	5.758341	1.481322	
950	950	4	475	2.250000	1.000000	6.624356	4.879650	1.357547	
900	900	4	450	2.250000	1.000000	5.389697	4.189789	1.286389	
850	850	4	425	2.250000	1.000000	4.526930	3.484142	1.299295	
800	800	4	400	2.250000	1.000000	3.761157	2.896090	1.298702	
750	750	4	375	2.250000	1.000000	3.011987	2.377454	1.266896	
700	700	4	350	2.250000	1.000000	2.455442	1.994427	1.231152	
650	650	4	325	2.250000	1.000000	1.974984	1.550601	1.273689	
600	600	4	300	2.250000	1.000000	1.545667	1.220159	1.266775	
550	550	4	275	2.250000	1.000000	1.184393	0.936651	1.264498	
500	500	4	250	2.250000	1.000000	0.880327	0.704217	1.250079	
450	450	4	225	2.250000	1.000000	0.664613	0.523087	1.270559	

1150	1150	4	575	2.500000	1.000000	17.831277	10.654388	1.673609	Best result yet!
1100	1100	4	550	2.500000	1.000000	13.360980	8.679727	1.539332	
1050	1050	4	525	2.500000	1.000000	11.790157	7.482196	1.575762	
1000	1000	4	500	2.500000	1.000000	9.860064	6.385100	1.544230	
950	950	4	475	2.500000	1.000000	7.936170	5.429991	1.461544	
900	900	4	450	2.500000	1.000000	6.254627	4.606940	1.357653	
850	850	4	425	2.500000	1.000000	5.108388	3.873564	1.318782	
800	800	4	400	2.500000	1.000000	4.182208	3.220301	1.298701	
750	750	4	375	2.500000	1.000000	3.370701	2.651810	1.271094	
700	700	4	350	2.500000	1.000000	2.754236	2.235076	1.232278	
650	650	4	325	2.500000	1.000000	2.224164	1.730459	1.285303	
600	600	4	300	2.500000	1.000000	1.728545	1.359860	1.271120	
550	550	4	275	2.500000	1.000000	1.320083	1.045414	1.262737	
500	500	4	250	2.500000	1.000000	0.993921	0.792506	1.254149	
450	450	4	225	2.500000	1.000000	0.743921	0.590574	1.259658	

1150	1150	4	575	2.750000	1.000000	20.974101	11.578784	1.811425	Best result yet!
1100	1100	4	550	2.750000	1.000000	15.046788	9.522577	1.580117	
1050	1050	4	525	2.750000	1.000000	13.304645	8.277461	1.607334	
1000	1000	4	500	2.750000	1.000000	11.228171	7.041301	1.594616	
950	950	4	475	2.750000	1.000000	9.229451	5.957934	1.549103	
900	900	4	450	2.750000	1.000000	7.458943	5.084065	1.467122	
850	850	4	425	2.750000	1.000000	5.857282	4.270242	1.371651	
800	800	4	400	2.750000	1.000000	4.642532	3.549165	1.308063	
750	750	4	375	2.750000	1.000000	3.699627	2.917616	1.268031	
700	700	4	350	2.750000	1.000000	3.038516	2.461397	1.234468	
650	650	4	325	2.750000	1.000000	2.427038	1.896692	1.279616	
600	600	4	300	2.750000	1.000000	1.899813	1.498330	1.267954	
550	550	4	275	2.750000	1.000000	1.445635	1.157083	1.249379	
500	500	4	250	2.750000	1.000000	1.083343	0.862165	1.256538	
450	450	4	225	2.750000	1.000000	0.790466	0.640962	1.233249	

1150	1150	4	575	3.000000	1.000000	24.726457	12.695505	1.947654	Best result yet!
1100	1100	4	550	3.000000	1.000000	16.645462	10.479852	1.588330	
1050	1050	4	525	3.000000	1.000000	14.825009	8.977429	1.651365	
1000	1000	4	500	3.000000	1.000000	12.472329	7.681330	1.623720	
950	950	4	475	3.000000	1.000000	10.164292	6.559337	1.549591	
900	900	4	450	3.000000	1.000000	8.457131	5.549709	1.523887	
850	850	4	425	3.000000	1.000000	6.706258	4.663983	1.437882	
800	800	4	400	3.000000	1.000000	5.275049	3.877959	1.360264	
750	750	4	375	3.000000	1.000000	4.056002	3.185774	1.273161	
700	700	4	350	3.000000	1.000000	3.313098	2.727683	1.214620	
650	650	4	325	3.000000	1.000000	2.655040	2.071109	1.281941	
600	600	4	300	3.000000	1.000000	2.092561	1.623548	1.288882	
550	550	4	275	3.000000	1.000000	1.576570	1.250300	1.260953	
500	500	4	250	3.000000	1.000000	1.178894	0.945460	1.246900	
450	450	4	225	3.000000	1.000000	0.865239	0.678368	1.275471	

1150	1150	4	575	3.500000	1.000000	29.220315	14.787547	1.976008	Best result yet!
1100	1100	4	550	3.500000	1.000000	20.240096	12.586886	1.608030	
1050	1050	4	525	3.500000	1.000000	20.534011	10.476629	1.959983	
1000	1000	4	500	3.500000	1.000000	15.437357	9.062079	1.703512	
950	950	4	475	3.500000	1.000000	12.290581	7.641825	1.608331	
900	900	4	450	3.500000	1.000000	11.022409	6.714624	1.641553	
850	850	4	425	3.500000	1.000000	9.037390	5.537942	1.631904	
800	800	4	400	3.500000	1.000000	6.729575	4.506108	1.493434	
750	750	4	375	3.500000	1.000000	5.092275	3.845639	1.324169	
700	700	4	350	3.500000	1.000000	4.152524	3.138838	1.322949	
650	650	4	325	3.500000	1.000000	3.162214	2.400165	1.317499	
600	600	4	300	3.500000	1.000000	2.488660	1.949021	1.276877	
550	550	4	275	3.500000	1.000000	1.910991	1.467641	1.302083	
500	500	4	250	3.500000	1.000000	1.389438	1.086565	1.278744	
450	450	4	225	3.500000	1.000000	1.019164	0.820967	1.241419	

1150	1150	6	575	1.000000	1.000000	5.256472	6.675811	0.787391	Best result yet!
1100	1100	6	550	1.000000	1.000000	4.586156	5.623011	0.815605	Best result yet!
1050	1050	6	525	1.000000	1.000000	4.013814	4.878827	0.822701	Best result yet!
1000	1000	6	500	1.000000	1.000000	3.517490	4.387758	0.801660	
950	950	6	475	1.000000	1.000000	2.903469	3.563482	0.814784	
900	900	6	450	1.000000	1.000000	2.503456	2.964075	0.844599	Best result yet!
850	850	6	425	1.000000	1.000000	2.035401	2.665618	0.763576	
800	800	6	400	1.000000	1.000000	1.668591	2.057109	0.811134	
750	750	6	375	1.000000	1.000000	1.355274	1.699162	0.797613	
700	700	6	350	1.000000	1.000000	1.109948	1.354104	0.819692	
650	650	6	325	1.000000	1.000000	0.876620	1.082496	0.809814	
600	600	6	300	1.000000	1.000000	0.675904	0.847560	0.797470	
550	550	6	275	1.000000	1.000000	0.513118	0.657605	0.780283	
500	500	6	250	1.000000	1.000000	0.379784	0.491665	0.772445	
450	450	6	225	1.000000	1.000000	0.276343	0.358775	0.770240	

1150	1150	6	575	1.250000	1.000000	6.800770	8.243109	0.825025	Best result yet!
1100	1100	6	550	1.250000	1.000000	5.723820	7.052184	0.811638	
1050	1050	6	525	1.250000	1.000000	5.148149	6.075489	0.847364	Best result yet!
1000	1000	6	500	1.250000	1.000000	4.308085	5.309252	0.811430	
950	950	6	475	1.250000	1.000000	3.494916	4.387777	0.796512	
900	900	6	450	1.250000	1.000000	3.011670	3.716970	0.810249	
850	850	6	425	1.250000	1.000000	2.575609	3.389010	0.759989	
800	800	6	400	1.250000	1.000000	2.106181	2.586805	0.814202	
750	750	6	375	1.250000	1.000000	1.721012	2.110232	0.815556	
700	700	6	350	1.250000	1.000000	1.379193	1.693978	0.814174	
