R	C	T	Si	Op_FF	Res_FF	St	Pt	SU	Info
1050	1050	6	525	2.500000	1.000000	12.422409	12.047440	1.031124	
1000	1000	6	500	2.500000	1.000000	10.337480	10.950539	0.944016	
950	950	6	475	2.500000	1.000000	8.368319	8.795478	0.951434	
900	900	6	450	2.500000	1.000000	6.357836	7.434348	0.855198	
850	850	6	425	2.500000	1.000000	5.176965	6.645288	0.779043	
800	800	6	400	2.500000	1.000000	4.281746	5.152211	0.831050	
750	750	6	375	2.500000	1.000000	3.380616	4.223301	0.800468	
700	700	6	350	2.500000	1.000000	2.791770	3.389401	0.823677	
650	650	6	325	2.500000	1.000000	2.288198	2.700798	0.847230	
600	600	6	300	2.500000	1.000000	1.743974	2.126502	0.820114	
550	550	6	275	2.500000	1.000000	1.338290	1.631874	0.820094	
500	500	6	250	2.500000	1.000000	0.986108	1.242092	0.793909	
450	450	6	225	2.500000	1.000000	0.723332	0.898585	0.804968	

1150	1150	6	575	2.750000	1.000000	23.532656	18.350106	1.282426	Best result yet!
1100	1100	6	550	2.750000	1.000000	15.859209	15.494989	1.023506	
1050	1050	6	525	2.750000	1.000000	14.515829	13.279488	1.093102	
1000	1000	6	500	2.750000	1.000000	12.259655	11.774919	1.041167	
950	950	6	475	2.750000	1.000000	9.489473	9.677334	0.980588	
900	900	6	450	2.750000	1.000000	7.791490	8.168286	0.953871	
850	850	6	425	2.750000	1.000000	5.845408	7.332894	0.797149	
800	800	6	400	2.750000	1.000000	4.670522	5.664811	0.824480	
750	750	6	375	2.750000	1.000000	3.729061	4.635107	0.804525	
700	700	6	350	2.750000	1.000000	3.132411	3.724372	0.841057	
650	650	6	325	2.750000	1.000000	2.437906	2.973256	0.819945	
600	600	6	300	2.750000	1.000000	1.900803	2.344958	0.810591	
550	550	6	275	2.750000	1.000000	1.452510	1.829954	0.793741	
500	500	6	250	2.750000	1.000000	1.075958	1.362328	0.789794	
450	450	6	225	2.750000	1.000000	0.791802	0.984198	0.804515	

1150	1150	6	575	3.000000	1.000000	26.624189	19.998702	1.331296	Best result yet!
1100	1100	6	550	3.000000	1.000000	17.077171	17.088466	0.999339	
1050	1050	6	525	3.000000	1.000000	15.827911	14.486148	1.092624	
1000	1000	6	500	3.000000	1.000000	13.112511	13.125886	0.998981	
950	950	6	475	3.000000	1.000000	10.592071	10.599787	0.999272	
900	900	6	450	3.000000	1.000000	8.781799	8.895584	0.987209	
850	850	6	425	3.000000	1.000000	6.953713	8.052764	0.863519	
800	800	6	400	3.000000	1.000000	5.436787	6.194085	0.877739	
750	750	6	375	3.000000	1.000000	4.100217	5.063797	0.809712	
700	700	6	350	3.000000	1.000000	3.307353	4.070449	0.812528	
650	650	6	325	3.000000	1.000000	2.697724	3.252960	0.829314	
600	600	6	300	3.000000	1.000000	2.097402	2.582518	0.812154	
550	550	6	275	3.000000	1.000000	1.600267	1.972774	0.811176	
500	500	6	250	3.000000	1.000000	1.199498	1.469191	0.816434	
450	450	6	225	3.000000	1.000000	0.869118	1.073717	0.809448	

1150	1150	6	575	3.500000	1.000000	30.010190	23.322228	1.286763	Best result yet!
1100	1100	6	550	3.500000	1.000000	20.633914	19.864488	1.038734	
1050	1050	6	525	3.500000	1.000000	18.119997	17.293617	1.047785	
1000	1000	6	500	3.500000	1.000000	15.870149	15.208704	1.043491	
950	950	6	475	3.500000	1.000000	12.442567	12.291521	1.012289	
900	900	6	450	3.500000	1.000000	10.264468	10.417302	0.985329	
850	850	6	425	3.500000	1.000000	8.630645	9.350334	0.923031	
800	800	6	400	3.500000	1.000000	6.789918	7.217556	0.940750	
750	750	6	375	3.500000	1.000000	4.975894	5.890621	0.844715	
700	700	6	350	3.500000	1.000000	4.007515	4.766005	0.840854	
650	650	6	325	3.500000	1.000000	3.147063	3.784776	0.831506	
600	600	6	300	3.500000	1.000000	2.443139	2.985903	0.818225	
550	550	6	275	3.500000	1.000000	1.874604	2.292416	0.817742	
500	500	6	250	3.500000	1.000000	1.427921	1.720377	0.830005	
450	450	6	225	3.500000	1.000000	1.041245	1.251456	0.832027	

1150	1150	8	575	1.000000	1.000000	5.164514	10.070955	0.512813	Best result yet!
1100	1100	8	550	1.000000	1.000000	4.517587	8.372722	0.539560	Best result yet!
1050	1050	8	525	1.000000	1.000000	3.913433	7.155063	0.546946	Best result yet!
1000	1000	8	500	1.000000	1.000000	3.328002	6.200483	0.536733	
950	950	8	475	1.000000	1.000000	2.893199	5.213780	0.554914	Best result yet!
900	900	8	450	1.000000	1.000000	2.402595	4.397449	0.546361	
850	850	8	425	1.000000	1.000000	2.018353	3.654486	0.552295	
800	800	8	400	1.000000	1.000000	1.665835	3.032629	0.549304	
750	750	8	375	1.000000	1.000000	1.357644	2.540345	0.534433	
700	700	8	350	1.000000	1.000000	1.111943	2.005928	0.554328	
650	650	8	325	1.000000	1.000000	0.872367	1.614495	0.540334	
600	600	8	300	1.000000	1.000000	0.678700	1.261311	0.538091	
550	550	8	275	1.000000	1.000000	0.510761	0.964104	0.529778	
500	500	8	250	1.000000	1.000000	0.378341	0.728495	0.519346	
450	450	8	225	1.000000	1.000000	0.275824	0.553055	0.498728	

1150	1150	8	575	1.250000	1.000000	6.688158	12.178174	0.549192	Best result yet!
1100	1100	8	550	1.250000	1.000000	5.772226	10.345739	0.557933	Best result yet!
1050	1050	8	525	1.250000	1.000000	5.027376	8.873954	0.566532	Best result yet!
1000	1000	8	500	1.250000	1.000000	4.223043	7.677428	0.550060	
950	950	8	475	1.250000	1.000000	3.571026	6.411170	0.557001	
900	900	8	450	1.250000	1.000000	3.036366	5.536439	0.548433	
850	850	8	425	1.250000	1.000000	2.637610	4.594519	0.574078	Best result yet!
800	800	8	400	1.250000	1.000000	2.094525	3.778178	0.554374	
750	750	8	375	1.250000	1.000000	1.697833	3.232472	0.525243	
700	700	8	350	1.250000	1.000000	1.374560	2.507807	0.548112	
650	650	8	325	1.250000	1.000000	1.106164	2.012943	0.549526	
600	600	8	300	1.250000	1.000000	0.895197	1.577038	0.567645	
550	550	8	275	1.250000	1.000000	0.663595	1.213749	0.546732	
500	500	8	250	1.250000	1.000000	0.479519	0.907026	0.528672	
450	450	8	225	1.250000	1.000000	0.349445	0.651889	0.536050	

1150	1150	8	575	1.500000	1.000000	9.153062	15.556371	0.588380	Best result yet!
1100	1100	8	550	1.500000	1.000000	6.978244	12.604589	0.553627	
1050	1050	8	525	1.500000	1.000000	5.956486	10.709735	0.556175	
1000	1000	8	500	1.500000	1.000000	5.050613	9.233681	0.546977	
950	950	8	475	1.500000	1.000000	4.219353	7.751163	0.544351	
900	900	8	450	1.500000	1.000000	3.567525	6.585814	0.541698	
850	850	8	425	1.500000	1.000000	3.039578	5.461006	0.556597	
800	800	8	400	1.500000	1.000000	2.512052	4.536839	0.553701	
750	750	8	375	1.500000	1.000000	2.105867	4.095292	0.514217	
700	700	8	350	1.500000	1.000000	1.756062	3.074207	0.571224	
650	650	8	325	1.500000	1.000000	1.323552	2.414562	0.548154	
600	600	8	300	1.500000	1.000000	1.038931	1.892212	0.549056	
550	550	8	275	1.500000	1.000000	0.805645	1.454802	0.553783	
500	500	8	250	1.500000	1.000000	0.598294	1.099397	0.544202	
450	450	8	225	1.500000	1.000000	0.431389	0.807270	0.534380	

1150	1150	8	575	1.750000	1.000000	11.811138	17.594845	0.671284	Best result yet!
1100	1100	8	550	1.750000	1.000000	8.872860	14.564716	0.609202	
1050	1050	8	525	1.750000	1.000000	7.224368	12.548914	0.575697	
1000	1000	8	500	1.750000	1.000000	5.984611	10.799904	0.554136	
950	950	8	475	1.750000	1.000000	5.031112	9.015879	0.558028	
900	900	8	450	1.750000	1.000000	4.194125	7.681883	0.545976	
850	850	8	425	1.750000	1.000000	3.528049	6.364750	0.554311	
800	800	8	400	1.750000	1.000000	2.943072	5.265543	0.558930	
750	750	8	375	1.750000	1.000000	2.380226	4.571450	0.520672	
700	700	8	350	1.750000	1.000000	1.929436	3.502646	0.550851	
650	650	8	325	1.750000	1.000000	1.563301	2.813555	0.555632	
600	600	8	300	1.750000	1.000000	1.225815	2.213059	0.553901	
550	550	8	275	1.750000	1.000000	0.955065	1.706692	0.559600	
500	500	8	250	1.750000	1.000000	0.698899	1.265176	0.552412	
450	450	8	225	1.750000	1.000000	0.504403	0.916533	0.550338	

1150	1150	8	575	2.000000	1.000000	14.199296	21.342748	0.665298	Best result yet!
1100	1100	8	550	2.000000	1.000000	10.445922	16.766140	0.623037	
1050	1050	8	525	2.000000	1.000000	9.023917	14.452883	0.624368	
1000	1000	8	500	2.000000	1.000000	7.172056	12.494898	0.573999	
950	950	8	475	2.000000	1.000000	5.902753	10.262988	0.575150	
900	900	8	450	2.000000	1.000000	4.778100	8.795914	0.543218	
850	850	8	425	2.000000	1.000000	4.034941	7.262571	0.555580	
800	800	8	400	2.000000	1.000000	3.339275	6.063363	0.550730	
750	750	8	375	2.000000	1.000000	2.707625	5.327780	0.508209	
700	700	8	350	2.000000	1.000000	2.195104	4.009601	0.547462	
650	650	8	325	2.000000	1.000000	1.766171	3.203124	0.551390	
600	600	8	300	2.000000	1.000000	1.378014	2.527183	0.545277	
550	550	8	275	2.000000	1.000000	1.082890	2.004632	0.540194	
500	500	8	250	2.000000	1.000000	0.821279	1.450241	0.566305	
450	450	8	225	2.000000	1.000000	0.616555	1.056325	0.583679	

1150	1150	8	575	2.250000	1.000000	16.901537	22.542545	0.749762	Best result yet!
1100	1100	8	550	2.250000	1.000000	11.976429	18.692241	0.640717	
1050	1050	8	525	2.250000	1.000000	11.710181	16.085012	0.728018	
1000	1000	8	500	2.250000	1.000000	9.196328	13.916945	0.660801	
950	950	8	475	2.250000	1.000000	7.212580	11.574813	0.623127	
900	900	8	450	2.250000	1.000000	5.628941	9.965843	0.564823	
850	850	8	425	2.250000	1.000000	4.657537	8.177130	0.569581	
800	800	8	400	2.250000	1.000000	3.889862	6.809008	0.571282	
750	750	8	375	2.250000	1.000000	3.113534	5.930665	0.524989	
700	700	8	350	2.250000	1.000000	2.534005	4.539188	0.558251	
650	650	8	325	2.250000	1.000000	2.070033	3.629615	0.570318	
600	600	8	300	2.250000	1.000000	1.634164	2.845837	0.574230	
550	550	8	275	2.250000	1.000000	1.217162	2.184099	0.557283	
500	500	8	250	2.250000	1.000000	0.900377	1.630825	0.552099	
450	450	8	225	2.250000	1.000000	0.646966	1.191179	0.543131	

1150	1150	8	575	2.500000	1.000000	21.480744	25.959994	0.827456	Best result yet!
1100	1100	8	550	2.500000	1.000000	13.993074	20.922424	0.668807	
1050	1050	8	525	2.500000	1.000000	12.428243	17.913041	0.693810	
1000	1000	8	500	2.500000	1.000000	10.457122	15.386208	0.679643	
950	950	8	475	2.500000	1.000000	8.160824	12.888000	0.633211	
900	900	8	450	2.500000	1.000000	6.564561	10.995723	0.597010	
850	850	8	425	2.500000	1.000000	5.228838	9.105536	0.574248	
800	800	8	400	2.500000	1.000000	4.315783	7.616817	0.566612	
750	750	8	375	2.500000	1.000000	3.396827	6.652161	0.510635	
700	700	8	350	2.500000	1.000000	2.784938	5.052296	0.551222	
650	650	8	325	2.500000	1.000000	2.244239	3.994974	0.561766	
600	600	8	300	2.500000	1.000000	1.775355	3.183963	0.557593	
550	550	8	275	2.500000	1.000000	1.340072	2.415600	0.554757	
500	500	8	250	2.500000	1.000000	0.989256	1.823641	0.542462	
450	450	8	225	2.500000	1.000000	0.722515	1.314301	0.549733	

1150	1150	8	575	2.750000	1.000000	23.676742	27.723749	0.854024	Best result yet!
1100	1100	8	550	2.750000	1.000000	15.538047	22.821313	0.680857	
1050	1050	8	525	2.750000	1.000000	13.858437	19.550474	0.708854	
1000	1000	8	500	2.750000	1.000000	12.674807	16.917621	0.749207	
950	950	8	475	2.750000	1.000000	9.619182	14.195010	0.677645	
900	900	8	450	2.750000	1.000000	7.211464	12.065287	0.597703	
850	850	8	425	2.750000	1.000000	5.790568	9.983416	0.580019	
800	800	8	400	2.750000	1.000000	4.686241	8.298784	0.564690	
750	750	8	375	2.750000	1.000000	3.703742	7.258012	0.510297	
700	700	8	350	2.750000	1.000000	3.060838	5.615310	0.545088	
650	650	8	325	2.750000	1.000000	2.731232	4.425112	0.617212	
600	600	8	300	2.750000	1.000000	1.915259	3.460674	0.553435	
550	550	8	275	2.750000	1.000000	1.444802	2.655788	0.544020	
500	500	8	250	2.750000	1.000000	1.084515	1.998481	0.542670	
450	450	8	225	2.750000	1.000000	0.791815	1.443183	0.548659	

1150	1150	8	575	3.000000	1.000000	26.990284	30.493287	0.885122	Best result yet!
1100	1100	8	550	3.000000	1.000000	17.880015	25.799698	0.693032	
1050	1050	8	525	3.000000	1.000000	16.280891	21.380164	0.761495	
1000	1000	8	500	3.000000	1.000000	13.097063	18.398239	0.711865	
950	950	8	475	3.000000	1.000000	10.564039	15.620806	0.676280	
900	900	8	450	3.000000	1.000000	8.616464	13.190631	0.653226	
850	850	8	425	3.000000	1.000000	6.862417	10.909229	0.629047	
800	800	8	400	3.000000	1.000000	5.330389	9.129545	0.583861	
750	750	8	375	3.000000	1.000000	4.169614	7.991696	0.521743	
700	700	8	350	3.000000	1.000000	3.357283	6.048281	0.555081	
650	650	8	325	3.000000	1.000000	2.712891	4.797666	0.565461	
600	600	8	300	3.000000	1.000000	2.106719	3.782688	0.556937	
550	550	8	275	3.000000	1.000000	1.625915	2.890408	0.562521	
500	500	8	250	3.000000	1.000000	1.205187	2.248906	0.535899	
450	450	8	225	3.000000	1.000000	0.875232	1.583466	0.552732	

1150	1150	8	575	3.500000	1.000000	32.798266	35.247304	0.930518	Best result yet!
1100	1100	8	550	3.500000	1.000000	20.562618	29.488853	0.697301	
1050	1050	8	525	3.500000	1.000000	18.876515	24.854392	0.759484	
1000	1000	8	500	3.500000	1.000000	15.547957	21.623342	0.719036	
950	950	8	475	3.500000	1.000000	12.456141	18.045121	0.690277	
900	900	8	450	3.500000	1.000000	10.432001	15.534595	0.671534	
850	850	8	425	3.500000	1.000000	8.440815	12.809454	0.658952	
800	800	8	400	3.500000	1.000000	6.610920	10.582893	0.624680	
750	750	8	375	3.500000	1.000000	5.123720	9.375696	0.546490	
700	700	8	350	3.500000	1.000000	3.977815	7.076997	0.562077	
650	650	8	325	3.500000	1.000000	3.148534	5.600575	0.562180	
600	600	8	300	3.500000	1.000000	2.420592	4.409930	0.548896	
550	550	8	275	3.500000	1.000000	1.859978	3.357535	0.553971	
500	500	8	250	3.500000	1.000000	1.378658	2.525874	0.545814	
450	450	8	225	3.500000	1.000000	1.007632	1.824984	0.552132	

1150	1150	10	575	1.000000	1.000000	5.278136	13.213196	0.399459	Best result yet!
1100	1100	10	550	1.000000	1.000000	4.592922	11.556913	0.397418	
1050	1050	10	525	1.000000	1.000000	3.923712	9.924226	0.395367	
1000	1000	10	500	1.000000	1.000000	3.328535	8.265902	0.402683	Best result yet!
950	950	10	475	1.000000	1.000000	2.855859	7.143695	0.399773	
900	900	10	450	1.000000	1.000000	2.408935	5.931843	0.406102	Best result yet!
850	850	10	425	1.000000	1.000000	2.005064	4.937432	0.406095	
800	800	10	400	1.000000	1.000000	1.693417	4.087230	0.414319	Best result yet!
750	750	10	375	1.000000	1.000000	1.389739	3.318754	0.418753	Best result yet!
700	700	10	350	1.000000	1.000000	1.122381	2.671339	0.420157	Best result yet!
650	650	10	325	1.000000	1.000000	0.886082	2.154087	0.411349	
600	600	10	300	1.000000	1.000000	0.681144	1.774491	0.383853	
550	550	10	275	1.000000	1.000000	0.524751	1.301182	0.403288	
500	500	10	250	1.000000	1.000000	0.385908	0.982212	0.392897	
450	450	10	225	1.000000	1.000000	0.279548	0.713912	0.391572	

1150	1150	10	575	1.250000	1.000000	6.797051	16.630838	0.408702	Best result yet!
1100	1100	10	550	1.250000	1.000000	5.647475	14.251278	0.396278	
1050	1050	10	525	1.250000	1.000000	4.862639	12.228847	0.397637	
1000	1000	10	500	1.250000	1.000000	4.164627	10.289776	0.404734	
950	950	10	475	1.250000	1.000000	3.509697	8.870801	0.395646	
900	900	10	450	1.250000	1.000000	3.028870	7.565849	0.400334	
850	850	10	425	1.250000	1.000000	2.563627	6.087514	0.421129	Best result yet!
800	800	10	400	1.250000	1.000000	2.138229	5.073313	0.421466	Best result yet!
750	750	10	375	1.250000	1.000000	1.725428	4.117903	0.419006	
700	700	10	350	1.250000	1.000000	1.414256	3.328291	0.424920	Best result yet!
650	650	10	325	1.250000	1.000000	1.138076	2.691136	0.422898	
600	600	10	300	1.250000	1.000000	0.874797	2.217038	0.394579	
550	550	10	275	1.250000	1.000000	0.655013	1.646493	0.397823	
500	500	10	250	1.250000	1.000000	0.489774	1.262318	0.387996	
450	450	10	225	1.250000	1.000000	0.352421	0.899699	0.391710	

1150	1150	10	575	1.500000	1.000000	9.365108	19.757000	0.474015	Best result yet!
1100	1100	10	550	1.500000	1.000000	6.924083	17.199266	0.402580	
1050	1050	10	525	1.500000	1.000000	5.943290	14.964645	0.397155	
1000	1000	10	500	1.500000	1.000000	5.065134	12.428348	0.407547	
950	950	10	475	1.500000	1.000000	4.379464	11.053203	0.396217	
900	900	10	450	1.500000	1.000000	3.750786	9.009619	0.416309	
850	850	10	425	1.500000	1.000000	3.103117	7.396440	0.419542	
800	800	10	400	1.500000	1.000000	2.636839	6.102145	0.432117	
750	750	10	375	1.500000	1.000000	2.057136	4.938545	0.416547	
700	700	10	350	1.500000	1.000000	1.677868	3.957694	0.423951	
650	650	10	325	1.500000	1.000000	1.337130	3.206143	0.417053	
600	600	10	300	1.500000	1.000000	1.036725	2.622769	0.395279	
550	550	10	275	1.500000	1.000000	0.807084	1.980951	0.407422	
500	500	10	250	1.500000	1.000000	0.624053	1.466205	0.425625	
450	450	10	225	1.500000	1.000000	0.430983	1.081780	0.398402	

1150	1150	10	575	1.750000	1.000000	12.082498	23.675846	0.510330	Best result yet!
1100	1100	10	550	1.750000	1.000000	8.788152	20.441817	0.429911	
1050	1050	10	525	1.750000	1.000000	7.550556	17.158961	0.440036	
1000	1000	10	500	1.750000	1.000000	5.955976	14.457899	0.411953	
950	950	10	475	1.750000	1.000000	5.014076	12.454082	0.402605	
900	900	10	450	1.750000	1.000000	4.251529	10.276976	0.413695	
850	850	10	425	1.750000	1.000000	3.545647	8.575229	0.413475	
800	800	10	400	1.750000	1.000000	2.942574	7.078725	0.415693	
750	750	10	375	1.750000	1.000000	2.377055	5.754903	0.413049	
700	700	10	350	1.750000	1.000000	1.929275	4.664345	0.413622	
650	650	10	325	1.750000	1.000000	1.557408	3.717144	0.418980	
600	600	10	300	1.750000	1.000000	1.222334	3.056746	0.399881	
550	550	10	275	1.750000	1.000000	0.942366	2.313860	0.407270	
500	500	10	250	1.750000	1.000000	0.696768	1.710305	0.407394	
450	450	10	225	1.750000	1.000000	0.503859	1.256322	0.401059	

1150	1150	10	575	2.000000	1.000000	14.926543	26.621630	0.560692	Best result yet!
1100	1100	10	550	2.000000	1.000000	10.411757	23.011851	0.452452	
1050	1050	10	525	2.000000	1.000000	9.092525	19.640857	0.462939	
1000	1000	10	500	2.000000	1.000000	7.360128	16.499446	0.446083	
950	950	10	475	2.000000	1.000000	5.815031	14.174508	0.410246	
900	900	10	450	2.000000	1.000000	4.840075	11.960759	0.404663	
850	850	10	425	2.000000	1.000000	4.172482	9.767748	0.427169	
800	800	10	400	2.000000	1.000000	3.496862	8.104420	0.431476	
750	750	10	375	2.000000	1.000000	2.711883	6.764567	0.400895	
700	700	10	350	2.000000	1.000000	2.213605	5.359907	0.412993	
650	650	10	325	2.000000	1.000000	1.830849	4.318922	0.423913	
600	600	10	300	2.000000	1.000000	1.420963	3.580963	0.396810	
550	550	10	275	2.000000	1.000000	1.081590	2.587909	0.417940	
500	500	10	250	2.000000	1.000000	0.804475	1.969583	0.408449	
450	450	10	225	2.000000	1.000000	0.585365	1.402900	0.417254	

1150	1150	10	575	2.250000	1.000000	15.954559	29.927666	0.533104	Best result yet!
1100	1100	10	550	2.250000	1.000000	12.273704	25.984313	0.472351	
1050	1050	10	525	2.250000	1.000000	10.814889	21.994628	0.491706	
1000	1000	10	500	2.250000	1.000000	8.780191	18.540353	0.473572	
950	950	10	475	2.250000	1.000000	6.851884	16.001904	0.428192	
900	900	10	450	2.250000	1.000000	5.548520	13.216684	0.419812	
850	850	10	425	2.250000	1.000000	5.151930	10.935054	0.471139	
800	800	10	400	2.250000	1.000000	3.796261	9.071470	0.418484	
750	750	10	375	2.250000	1.000000	3.056317	7.398659	0.413091	
700	700	10	350	2.250000	1.000000	2.495082	5.999008	0.415916	
650	650	10	325	2.250000	1.000000	2.000924	4.800366	0.416827	
600	600	10	300	2.250000	1.000000	1.570584	3.914687	0.401203	
550	550	10	275	2.250000	1.000000	1.203988	3.034435	0.396775	
500	500	10	250	2.250000	1.000000	0.915358	2.189079	0.418148	
450	450	10	225	2.250000	1.000000	0.664099	1.588729	0.418006	

1150	1150	10	575	2.500000	1.000000	21.120280	33.178827	0.636559	Best result yet!
1100	1100	10	550	2.500000	1.000000	14.093077	28.869200	0.488170	
1050	1050	10	525	2.500000	1.000000	12.300667	24.941661	0.493178	
1000	1000	10	500	2.500000	1.000000	10.709770	20.968900	0.510745	
950	950	10	475	2.500000	1.000000	7.999719	17.920857	0.446392	
900	900	10	450	2.500000	1.000000	6.484570	14.843706	0.436857	
850	850	10	425	2.500000	1.000000	5.264418	12.356237	0.426053	
800	800	10	400	2.500000	1.000000	4.302816	10.100673	0.425993	
750	750	10	375	2.500000	1.000000	3.435658	8.226194	0.417649	
700	700	10	350	2.500000	1.000000	2.803691	6.682230	0.419574	
650	650	10	325	2.500000	1.000000	2.288155	5.342599	0.428285	
600	600	10	300	2.500000	1.000000	1.809520	4.470998	0.404724	
550	550	10	275	2.500000	1.000000	1.343978	3.224612	0.416788	
500	500	10	250	2.500000	1.000000	0.997257	2.413443	0.413209	
450	450	10	225	2.500000	1.000000	0.725322	1.759685	0.412189	

1150	1150	10	575	2.750000	1.000000	23.734835	36.425229	0.651604	Best result yet!
1100	1100	10	550	2.750000	1.000000	15.660025	31.867640	0.491408	
1050	1050	10	525	2.750000	1.000000	14.117907	27.000215	0.522881	
1000	1000	10	500	2.750000	1.000000	11.410600	22.673899	0.503248	
950	950	10	475	2.750000	1.000000	9.459518	19.514196	0.484751	
900	900	10	450	2.750000	1.000000	7.244418	16.550990	0.437703	
850	850	10	425	2.750000	1.000000	6.799541	13.405415	0.507223	
800	800	10	400	2.750000	1.000000	4.694698	11.291343	0.415779	
750	750	10	375	2.750000	1.000000	3.725597	9.011649	0.413420	
700	700	10	350	2.750000	1.000000	3.033315	7.314492	0.414699	
650	650	10	325	2.750000	1.000000	2.453544	5.846631	0.419651	
600	600	10	300	2.750000	1.000000	1.917567	4.818891	0.397927	
550	550	10	275	2.750000	1.000000	1.461578	3.575342	0.408794	
500	500	10	250	2.750000	1.000000	1.089129	2.667873	0.408239	
450	450	10	225	2.750000	1.000000	0.788001	1.930859	0.408109	

1150	1150	10	575	3.000000	1.000000	25.669147	39.595739	0.648281	Best result yet!
1100	1100	10	550	3.000000	1.000000	17.930523	40.265525	0.445307	
1050	1050	10	525	3.000000	1.000000	16.887769	31.092717	0.543142	
1000	1000	10	500	3.000000	1.000000	15.056444	25.005615	0.602123	
950	950	10	475	3.000000	1.000000	11.374071	21.183455	0.536932	
900	900	10	450	3.000000	1.000000	8.274480	17.648280	0.468855	
850	850	10	425	3.000000	1.000000	6.795560	14.612038	0.465066	
800	800	10	400	3.000000	1.000000	5.901131	12.099583	0.487714	
750	750	10	375	3.000000	1.000000	4.319333	10.075183	0.428710	
700	700	10	350	3.000000	1.000000	3.712870	8.703941	0.426573	
650	650	10	325	3.000000	1.000000	3.054892	6.868137	0.444792	
600	600	10	300	3.000000	1.000000	2.339714	5.691649	0.411078	
550	550	10	275	3.000000	1.000000	1.716935	4.243409	0.404612	
500	500	10	250	3.000000	1.000000	1.247459	2.979988	0.418612	
450	450	10	225	3.000000	1.000000	0.876536	2.131951	0.411143	

1150	1150	10	575	3.500000	1.000000	32.527170	46.090003	0.705732	Best result yet!
1100	1100	10	550	3.500000	1.000000	20.046654	40.210718	0.498540	
1050	1050	10	525	3.500000	1.000000	17.772126	34.707077	0.512061	
1000	1000	10	500	3.500000	1.000000	15.201717	28.941693	0.525253	
950	950	10	475	3.500000	1.000000	12.069124	24.800199	0.486654	
900	900	10	450	3.500000	1.000000	10.029246	20.569456	0.487580	
850	850	10	425	3.500000	1.000000	9.457977	18.620537	0.507933	
800	800	10	400	3.500000	1.000000	7.710114	15.170431	0.508233	
750	750	10	375	3.500000	1.000000	5.284589	11.453261	0.461405	
700	700	10	350	3.500000	1.000000	3.953971	10.056295	0.393184	
650	650	10	325	3.500000	1.000000	3.134148	7.423146	0.422213	
600	600	10	300	3.500000	1.000000	2.419840	6.187532	0.391083	
550	550	10	275	3.500000	1.000000	1.852926	4.494203	0.412292	
500	500	10	250	3.500000	1.000000	1.385046	3.417364	0.405297	
450	450	10	225	3.500000	1.000000	1.008515	2.476492	0.407235	
