
1360	1360	8	680	2.000000	1.000000	23.097580	33.648049	21.051839	1.097176	16	0.215371	107.245544	
1320	1320	8	660	2.000000	1.000000	20.874434	31.108996	19.181412	1.088264	16	0.177871	117.357152	
1280	1280	8	640	2.000000	1.000000	18.663115	27.846858	17.371093	1.074378	16	0.207168	90.086862	
1240	1240	8	620	2.000000	1.000000	16.543969	25.548509	15.485561	1.068348	16	0.149913	110.357134	
1200	1200	8	600	2.000000	1.000000	14.814085	22.747684	13.768038	1.075976	16	0.131807	112.392248	
1160	1160	8	580	2.000000	1.000000	13.242338	20.330424	12.265797	1.079615	16	0.134129	98.728373	
1120	1120	8	560	2.000000	1.000000	11.688095	18.393758	10.820877	1.080143	16	0.111180	105.127676	
1080	1080	8	540	2.000000	1.000000	10.321308	16.226037	9.540420	1.081850	16	0.096793	106.632794	
1040	1040	8	520	2.000000	1.000000	8.938441	14.447852	8.201722	1.089825	16	0.085847	104.120598	
1000	1000	8	500	2.000000	1.000000	7.556682	13.043880	6.941863	1.088567	16	0.091530	82.559620	
960	960	8	480	2.000000	1.000000	6.279601	11.118248	6.113687	1.027138	16	0.076481	82.106680	
920	920	8	460	2.000000	1.000000	5.362660	9.932696	5.305856	1.010706	16	0.063584	84.339771	
880	880	8	440	2.000000	1.000000	4.645359	8.462865	4.679796	0.992641	16	0.056530	82.175111	
840	840	8	420	2.000000	1.000000	4.037001	7.326713	3.996959	1.010018	16	0.048435	83.348839	
800	800	8	400	2.000000	1.000000	3.505998	6.260647	3.409972	1.028160	16	0.041813	83.849473	
760	760	8	380	2.000000	1.000000	2.979905	5.399818	2.911230	1.023590	16	0.041701	71.458838	
720	720	8	360	2.000000	1.000000	2.498408	4.599205	2.487465	1.004399	16	0.037538	66.556769	
680	680	8	340	2.000000	1.000000	2.112772	3.828690	2.044272	1.033508	16	0.030363	69.583770	
640	640	8	320	2.000000	1.000000	1.737409	3.182150	1.700822	1.021511	16	0.025807	67.323168	
600	600	8	300	2.000000	1.000000	1.465653	2.643925	1.399450	1.047306	16	0.021175	69.216198	
560	560	8	280	2.000000	1.000000	1.161477	2.115848	1.135838	1.022573	16	0.017599	65.996761	
520	520	8	260	2.000000	1.000000	0.918857	1.693339	0.902240	1.018417	16	0.014105	65.144062	
480	480	8	240	2.000000	1.000000	0.722380	1.367356	0.727903	0.992412	16	0.011286	64.006734	
440	440	8	220	2.000000	1.000000	0.554511	1.014483	0.527725	1.050757	16	0.009038	61.353286	
400	400	8	200	2.000000	1.000000	0.412470	0.793697	0.413548	0.997393	16	0.007259	56.821876	
360	360	8	180	2.000000	1.000000	0.308972	0.542603	0.280099	1.103081	16	0.005338	57.881604	
320	320	8	160	2.000000	1.000000	0.205626	0.389969	0.185172	1.110459	16	0.003546	57.988156	
280	280	8	140	2.000000	1.000000	0.137926	0.244827	0.131692	1.047338	16	0.002671	51.638338	
240	240	8	120	2.000000	1.000000	0.087675	0.166305	0.067558	1.297774	16	0.001758	49.872014	
200	200	8	100	2.000000	1.000000	0.049291	0.078963	0.036830	1.338338	16	0.001141	43.199825	
160	160	8	80	2.000000	1.000000	0.025709	0.042139	0.014528	1.769617	16	0.000643	39.982893	
