
1360	1360	4	680	2.000000	1.000000	24.070700	14.686933	20.081733	1.638919	16	0.257299	93.551471	
1320	1320	4	660	2.000000	1.000000	20.883296	13.412368	18.078466	1.557018	16	0.196774	106.128330	
1280	1280	4	640	2.000000	1.000000	18.502429	12.089158	15.736930	1.530498	16	0.236982	78.075250	
1240	1240	4	620	2.000000	1.000000	16.813591	11.028928	14.327821	1.524499	16	0.180319	93.243591	
1200	1200	4	600	2.000000	1.000000	14.901723	9.962989	11.989955	1.495708	16	0.154423	96.499375	
1160	1160	4	580	2.000000	1.000000	13.152772	8.856149	11.063213	1.485157	16	0.159388	82.520466	
1120	1120	4	560	2.000000	1.000000	11.589432	7.946926	9.737105	1.458354	16	0.133576	86.762832	
1080	1080	4	540	2.000000	1.000000	9.845256	6.871153	8.402202	1.432839	16	0.113196	86.975299	
1040	1040	4	520	2.000000	1.000000	8.275024	6.125228	7.204874	1.350974	16	0.099598	83.084239	
1000	1000	4	500	2.000000	1.000000	7.543117	5.374213	6.204736	1.403576	16	0.103995	72.533458	
960	960	4	480	2.000000	1.000000	6.418162	4.707748	5.358634	1.363319	16	0.087875	73.037405	
920	920	4	460	2.000000	1.000000	5.379662	4.162868	4.695925	1.292297	16	0.074522	72.188911	
880	880	4	440	2.000000	1.000000	4.690499	3.633035	4.062844	1.291069	16	0.065816	71.266850	
840	840	4	420	2.000000	1.000000	4.071565	3.164760	3.566135	1.286532	16	0.057309	71.045822	
800	800	4	400	2.000000	1.000000	3.455951	2.696349	3.031820	1.281715	16	0.049753	69.462163	
760	760	4	380	2.000000	1.000000	2.982827	2.334896	2.604253	1.277499	16	0.049662	60.062563	
720	720	4	360	2.000000	1.000000	2.543959	1.989608	2.187308	1.278623	16	0.044508	57.157343	
680	680	4	340	2.000000	1.000000	2.130061	1.656621	1.813674	1.285787	16	0.036632	58.147549	
640	640	4	320	2.000000	1.000000	1.737908	1.369811	1.506480	1.268721	16	0.031165	55.764736	
600	600	4	300	2.000000	1.000000	1.439164	1.143452	1.240374	1.258613	16	0.026356	54.604796	
560	560	4	280	2.000000	1.000000	1.162884	0.924373	1.001560	1.258025	16	0.021610	53.812309	
520	520	4	260	2.000000	1.000000	0.944383	0.750287	0.803105	1.258696	16	0.018122	52.112515	
480	480	4	240	2.000000	1.000000	0.744641	0.595357	0.646979	1.250747	16	0.014749	50.487558	
440	440	4	220	2.000000	1.000000	0.570751	0.466841	0.488933	1.222581	16	0.012470	45.769928	
400	400	4	200	2.000000	1.000000	0.434759	0.338600	0.359885	1.283990	16	0.010423	41.711503	
360	360	4	180	2.000000	1.000000	0.309772	0.244106	0.263009	1.269006	16	0.007670	40.387484	
320	320	4	160	2.000000	1.000000	0.209069	0.166647	0.173930	1.254562	16	0.004990	41.897595	
280	280	4	140	2.000000	1.000000	0.138887	0.111966	0.122397	1.240439	16	0.004040	34.377970	
240	240	4	120	2.000000	1.000000	0.087631	0.079960	0.072780	1.204053	16	0.002793	31.375224	
200	200	4	100	2.000000	1.000000	0.049727	0.039927	0.042152	1.245448	16	0.002392	20.788880	
160	160	4	80	2.000000	1.000000	0.025530	0.021709	0.016503	1.546991	16	0.001441	17.716863	
